"DateTime";"DUQUE DE CAXIAS - XEREM"
"2021-05-22 23:00:00";59
"2021-05-23 00:00:00";343
"2021-05-23 01:00:00";109
"2021-05-23 02:00:00";126
"2021-05-23 03:00:00";151
"2021-05-23 04:00:00";140
"2021-05-23 05:00:00";144
"2021-05-23 06:00:00";220
"2021-05-23 07:00:00";340
"2021-05-23 08:00:00";121
"2021-05-23 09:00:00";98
"2021-05-23 10:00:00";134
"2021-05-23 11:00:00";173
"2021-05-23 12:00:00";89
"2021-05-23 13:00:00";281
"2021-05-23 14:00:00";60
"2021-05-23 15:00:00";276
"2021-05-23 16:00:00";254
"2021-05-23 17:00:00";147
"2021-05-23 18:00:00";282
"2021-05-23 19:00:00";152
"2021-05-23 20:00:00";123
"2021-05-23 21:00:00";86
"2021-05-23 22:00:00";119
"2021-05-23 23:00:00";52
"2021-05-24 00:00:00";211
"2021-05-24 01:00:00";277
"2021-05-24 02:00:00";218
"2021-05-24 03:00:00";172
"2021-05-24 04:00:00";73
"2021-05-24 05:00:00";154
"2021-05-24 06:00:00";157
"2021-05-24 07:00:00";165
"2021-05-24 08:00:00";140
"2021-05-24 09:00:00";121
"2021-05-24 10:00:00";123
"2021-05-24 11:00:00";146
"2021-05-24 12:00:00";207
"2021-05-24 13:00:00";54
"2021-05-24 14:00:00";170
"2021-05-24 15:00:00";91
"2021-05-24 16:00:00";111
"2021-05-24 17:00:00";336
"2021-05-24 18:00:00";76
"2021-05-24 19:00:00";152
"2021-05-24 20:00:00";200
"2021-05-24 21:00:00";199
"2021-05-24 22:00:00";128
"2021-05-24 23:00:00";183
"2021-05-25 00:00:00";238
"2021-05-25 01:00:00";161
"2021-05-25 02:00:00";43
"2021-05-25 03:00:00";95
"2021-05-25 04:00:00";99
"2021-05-25 05:00:00";129
"2021-05-25 06:00:00";130
"2021-05-25 07:00:00";189
"2021-05-25 08:00:00";128
"2021-05-25 09:00:00";137
"2021-05-25 10:00:00";103
"2021-05-25 11:00:00";36
"2021-05-25 12:00:00";238
"2021-05-25 13:00:00";14
"2021-05-25 14:00:00";55
"2021-05-25 15:00:00";262
"2021-05-25 16:00:00";297
"2021-05-25 17:00:00";298
"2021-05-25 18:00:00";134
"2021-05-25 19:00:00";137
"2021-05-25 20:00:00";109
"2021-05-25 21:00:00";88
"2021-05-25 22:00:00";170
"2021-05-25 23:00:00";139
"2021-05-26 00:00:00";102
"2021-05-26 01:00:00";114
"2021-05-26 02:00:00";134
"2021-05-26 03:00:00";123
"2021-05-26 04:00:00";270
"2021-05-26 05:00:00";132
"2021-05-26 06:00:00";129
"2021-05-26 07:00:00";121
"2021-05-26 08:00:00";124
"2021-05-26 09:00:00";162
"2021-05-26 10:00:00";116
"2021-05-26 11:00:00";102
